, es , ls , rx , a8 , a6 , 3series , 5series , 7series , xj , sclass ,model_strings
0,,,,0.0,,,,,,-0.16666666666666666,"[u""previous '01 sclass pre-'03 refresh"", u'one issue a8 w12 yes']"
1,,,,,,,,,,,[]
2,,,,0.5,,,,0.5,,0.0,"[u'price difference a8 lexusls price', u'sale especially sclass 7series a8', u'especially sclass 7series a8 especially', u'sclass 7series a8 especially swb', u'price either 7series course many', u""many factor a8 n't sell"", u'lexusls even sclass 7series audi', u""even sclass 7series audi 's"", u'scared hear a8 made aluminum']"
3,,,0.45,,,,,,,,[u'second part rx incredibly well']
4,,,0.0,,,0.0,,0.0,,0.2,"[u'extension lexuses rx mainstream car', u'car lexuses rx competed 325', u'gs competed 3series 530i 545i', u'headed much sclass sale worldwide', u'build mercedes sclass according not', u'not necessarily 7series point anyone', u'anyone make sclass except mb']"
5,,,,,,,,,,0.5,[u'heritage feature sclass get sure']
6,,,0.0,,,,,,,-0.3125,"[u'also think sclass could stand', u'market work sclass sale mean', u'33-55k lexuses rx gs gx', u'projected cl sclass 65 model', u'chart cl sclass add somewhere', u'ml clk sclass model given']"
7,,,,0.5,,,,,,,"[u'phaeton cousin a8 remiain favorite', u'quattroporte like a8 optional wooden']"
8,,,,0.13636363636363635,,,,,,,"[u""new '09 a8 get compete""]"
9,,0.0,,,,,,0.0,,0.4,"[u'mb e sclass car statistic', u'press praise ls attribute say', u'nobody saying sclass driver car', u'car segment 7series short wheelbase', u""even drove sclass n't fit"", u'know 1990 sclass sealed coffin']"
10,,,,0.3,,,,,0.3,,"[u'not honest a8 xj 7', u'honest a8 xj 7 phaeton']"
11,,,,0.0,,,,0.0,,,"[u'thesclass lexusls 7series a8 etc', u""lexusls 7series a8 etc 's""]"
12,,,,0.0,0.13636363636363635,,,,,0.25,"[u'2003sclass cl sclass first one', u'name style a8 think simply', u""simply new a6 's interior"", u""reversal 1998-2004 a6 's interior"", u'lexus l sclass sedan not']"
13,,,,,,0.2727272727272727,,,,0.2727272727272727,"[u'preview new sclass 3series established', u'new sclass 3series established car']"
14,,,,,,,,,,,[]
15,,,0.0,,,,0.0,,,,"[u'midsize bmw 5series fighter lost', u'gs450h beating 5series lexus not', u'path ditto rx setting bar']"
16,,,,0.6333333333333333,,,,-1.6,,-1.1666666666666667,"[u'whole us a8 people would', u'desire whatsoever a8 trust one', u'one watch a8 sale plummet', u'easy resell sclass a8 demand', u'resell sclass a8 demand low', u'sticker sell sclass 7series base', u'sell sclass 7series base price']"
17,,,1.0,,,0.0,,,,,"[u'diesel-/gas-powered stripped 3series europe ditto', u""praise europe 3series diesel n't"", u'bmw selling 3series c-class car', u""something n't 3series c-class sale"", u'gone es330 rx lexus best']"
18,,,,0.0,,,,,,,"[u'likely match a8 come close', u'level priced a8 750li level']"
19,,,-0.16666666666666666,,,,,,,,[u'sun like rx previous post']
20,,,,,,,,0.30000000000000004,0.0,0.0,"[u'much like 7series car huge', u'would take sclass a8l xj', u'sclass a8l xj m']"
21,,,,,,,,-0.25,,-0.04999999999999999,"[u'merc1 note sclass longer much', u'point secondly sclass sclass sell', u'secondly sclass sclass sell equally', u'sell equally 7series sclass still', u'equally 7series sclass still expensive']"
22,,,0.0,,,,,,,,[u'segment lexuses rx sale wash']
23,,,0.0,,,,,,,0.0,"[u'selling v sclass 21k price', u'people afford sclass sell fewer', u'unit segment-leading rx conservative excluded']"
24,,,,0.0,,,,,,0.0,"[u'would buy a8 sclass phaeton', u'buy a8 sclass phaeton hand']"
25,,,,,0.0,,,,,,[u'alone eclass a6 styling course']
26,,,,0.0,,,,,,0.0,"[u'lexusls 745 sclass a8 xjr', u'745 sclass a8 xjr anyway']"
27,,,0.0,,,0.35,,,,,"[u'lexuses highlander rx 4runner gx', u'cool 2006 3series introduced wo']"
28,,,,,,,,,,0.0,[u'thinking compeitive sclass anthing else']
29,,,,,,,,,,-0.056249999999999994,"[u'sale v sclass sale shall', u'shall guess sclass outsell s350', u'let compare sclass mean really', u'not outsell sclass not price', u'lscan jump sclass and/or especially', u'and/or especially sclass price difference']"
30,,,,0.0,,,,,,0.5333333333333333,"[u'promise told a8 delivers carmaker', u'buy audi a8 car loser', u'one love sclass not much', u'released picture sclass people quick']"
31,,,,,,,,,,0.4000000000000001,"[u""huge dent sclass sale n't"", u""enough '07 sclass actually sold""]"
32,,,0.2857142857142857,,,0.13636363636363635,,0.13636363636363635,,0.25,"[u'c-class sold rx rx msrps', u'sold rx rx msrps right', u'le yet rx crush entire', u'cost gs sclass cost lexusls', u'cost lexusls sclass cost scand', u""'ll give rx crush ml"", u'bought lslooked sclass first decided', u'taper facelifted 7series new 3series', u'7series new 3series 2006 even', u'still remember 3series 100k unit']"
33,,,-0.25,,,0.13636363636363635,,,,,"[u'actually one-up rx laughable rendezvous', u'hair w/o rx budget gmc', u""new comp 3series '07 g35""]"
34,,,,,,,,,,,[]
35,,,,0.0,0.1,,,,,0.3,"[u'noted 2007 sclass better wow', u'yes cl sclass arrived dealer', u'last page a8 lexusls anyway', u'in-your-face-but-plain noeclass a6 far styling']"
