,es,ls,rx,a8,a6,3series,5series,7series,xj,sclass,Posts
0,,,,0.0,,,,,,-0.16666666666666666,"[u""previous '01 sclass pre-'03 refresh"", u'one issue a8 w12 yes']"
1,,,,,,,,,,,[]
2,,0.2,,0.5,,,,0.5,,0.0,"[u'price difference a8 ls price', u'difference a8 ls price difference', u'sale especially sclass 7series a8', u'especially sclass 7series a8 especially', u'sclass 7series a8 especially swb', u'much closer ls price either', u'price either 7series course many', u""many factor a8 n't sell"", u'sell compared ls even sclass', u'ls even sclass 7series audi', u""even sclass 7series audi 's"", u'scared hear a8 made aluminum']"
3,0.0,,0.45,,,,,,,,"['', u'us market es unbeatable europe', u'second part rx incredibly well']"
4,0.0,0.0,0.0,,,0.0,,0.0,,0.2,"[u'performance extension es rx mainstream', u'extension es rx mainstream car', u'mainstream car es rx competed', u'car es rx competed 325', u'gs competed 3series 530i 545i', u'headed much sclass sale worldwide', u'build lexus ls one lexus', u'build mercedes sclass according not', u'not necessarily 7series point anyone', u'anyone make sclass except mb']"
5,0.7363636363636363,,,,,,,,,0.5,"[u'heritage feature sclass get sure', u'bought new es asked bought', u'asked bought es answer wanted', u'friend liked es bought one']"
6,0.0,,0.0,,,,,,,-0.3125,"[u'also think sclass could stand', u'contend 33k es sedan heart', u'market work sclass sale mean', u'car 33-55k es rx gs', u'33-55k es rx gs gx', u'projected cl sclass 65 model', u'chart cl sclass add somewhere', u'ml clk sclass model given']"
7,,,,0.5,,,,,,,"[u'phaeton cousin a8 remiain favorite', u'quattroporte like a8 optional wooden']"
8,,,,0.13636363636363635,,,,,,,"[u""new '09 a8 get compete""]"
9,,0.5,,,,,,0.0,,0.4,"[u'bet critic ls never sat', u'bet many ls buyer owned', u'mb e sclass car statistic', u'yes driven ls 2002 model', u'press praise ls attribute say', u'nobody saying sclass driver car', u'driver car ls feel connected', u""connected road ls 've seen"", u'car segment 7series short wheelbase', u""even drove sclass n't fit"", u'know 1990 sclass sealed coffin']"
10,,,,0.3,,,,,0.3,,"[u'not honest a8 xj 7', u'honest a8 xj 7 phaeton']"
11,,0.0,,0.0,,,,0.0,,,"[u'rl thesclass ls 7series a8', u'thesclass ls 7series a8 etc', u""ls 7series a8 etc 's""]"
12,,0.03571428571428571,,0.0,0.13636363636363635,,,,,0.25,"[u'2003sclass cl sclass first one', u'name style a8 think simply', u""simply new a6 's interior"", u""reversal 1998-2004 a6 's interior"", u'lexus l sclass sedan not', u'not single ls type lot']"
13,,0.0,,,,0.2727272727272727,,,,0.2727272727272727,"[u'preview new sclass 3series established', u'new sclass 3series established car', u'concept next ls btw happen']"
14,,,,,,,,,,,[]
15,-0.2,,0.0,,,,0.0,,,,"[u'midsize bmw 5series fighter lost', u'gs450h beating 5series lexus not', u'sky limit es killed every', u'path ditto rx setting bar']"
16,,0.0,,0.6333333333333333,,,,-1.6,,-1.1666666666666667,"[u'whole us a8 people would', u'desire whatsoever a8 trust one', u'one watch a8 sale plummet', u'easy resell sclass a8 demand', u'resell sclass a8 demand low', u""especially considering ls n't sticker"", u'sticker sell sclass 7series base', u'sell sclass 7series base price']"
17,1.0,0.0,1.0,,,0.0,,,,,"[u'diesel-/gas-powered stripped 3series europe ditto', u""praise europe 3series diesel n't"", u'bmw selling 3series c-class car', u""something n't 3series c-class sale"", u'model gone es rx lexus', u'gone es rx lexus best', u'hit segment ls nobody japan', u'rushing build es competitor ultimate', u'like belongs ls not supposed']"
18,,0.0,,0.0,,,,,,,"[u'ls460 compared ls think ls460l', u'likely match a8 come close', u'level priced a8 750li level']"
19,,-0.18125,-0.16666666666666666,,,,,,,,"[u'sun like rx previous post', u'not old ls vssclass mean']"
20,,0.0,,,,,,0.30000000000000004,0.0,0.0,"[u'ever accept ls type car', u""q45 following ls 'd even"", u'much like 7series car huge', u""'ll see ls v 745i"", u'would take sclass a8l xj', u'sclass a8l xj m']"
21,,0.04999999999999999,,,,,,-0.25,,-0.04999999999999999,"[u'merc1 note sclass longer much', u'much expensive ls popular trim', u'le case ls ultra also', u'point secondly sclass sclass sell', u'secondly sclass sclass sell equally', u'sell equally 7series sclass still', u'equally 7series sclass still expensive']"
22,0.0,,0.0,,,,,,,,"[u'50k segment es rx sale', u'segment es rx sale wash']"
23,,,0.0,,,,,,,0.0,"[u'selling v sclass 21k price', u'people afford sclass sell fewer', u'unit segment-leading rx conservative excluded']"
24,,,,0.0,,,,,,0.0,"[u'would buy a8 sclass phaeton', u'buy a8 sclass phaeton hand']"
25,,,,,0.0,,,,,,[u'alone eclass a6 styling course']
26,,-0.5,,0.0,,,,,,0.0,"[u'need expensive ls 745 sclass', u'ls 745 sclass a8 xjr', u'745 sclass a8 xjr anyway']"
27,0.0,0.0,0.0,,,0.35,,,,,"[u""lexus n't ls people would"", u'interior camry es highlander rx', u'es highlander rx 4runner gx', u'cool 2006 3series introduced wo']"
28,0.0,0.0,,,,,,,,0.0,"[u'interior appointment es delivers spade', u'recently got es looks feel', u""suggesting gene ls n't seem"", u'thinking compeitive sclass anthing else']"
