, es , ls , rx , a8 , a6 , 3series , 5series , 7series , xj , sclass ,model_strings
0,,,,,,,,,,-0.16666666666666666,[u'take previous sclass refresh model']
1,,,,,,,,,,,[]
2,,,,,,,,,,0.0,"[u'sale especially sclass especially swb', u'lexusls even sclass audi rep']"
3,,,0.45,,,,,,,,[u'second part rx incredibly well']
4,,,0.0,,,,,,,0.2,"[u'extension lexuses rx mainstream car', u'car lexuses rx competed wagon', u'headed much sclass sale worldwide', u'build mercedes sclass according not', u'anyone make sclass except mb']"
5,,,,,,,,,,0.5,[u'heritage feature sclass get sure']
6,,,0.0,,,,,,,-0.3125,"[u'also think sclass could stand', u'market work sclass sale mean', u'car lexuses rx gs gx', u'projected cl sclass model going', u'chart cl sclass add somewhere', u'ml clk sclass model given']"
7,,,,,,,,,,,[]
8,,,,,,,,,,,[]
9,,0.0,,,,,,,,0.4,"[u'mb e sclass car statistic', u'press praise ls attribute say', u'nobody saying sclass driver car', u'even drove sclass fit well', u'everyone know sclass sealed coffin']"
10,,,,,,,,,-0.3,,[u'not honest xj phaeton wear']
11,,,,,,,,,,,[]
12,,,,,,,,,,0.25,"[u'car cl sclass first one', u'lexus l sclass sedan not']"
13,,,,,,,,,,0.13636363636363635,[u'preview new sclass established car']
14,,,,,,,,,,,[]
15,,,0.0,,,,,,,,[u'path ditto rx setting bar']
16,,,,,,,,,,-0.5833333333333334,"[u'easy resell sclass demand low', u'sticker sell sclass base price']"
17,,,1.0,,,,,,,,[u'model gone rx lexus best']
18,,,,,,,,,,,[]
19,,,-0.16666666666666666,,,,,,,,[u'sun like rx previous post']
20,,,,,,,,,0.0,0.0,"[u'would take sclass xj m', u'take sclass xj m']"
21,,,,,,,,,,-0.25,"['', u'point secondly sclass sclass sell', u'secondly sclass sclass sell equally', u'sell equally sclass still expensive']"
22,,,0.0,,,,,,,,[u'segment lexuses rx sale wash']
23,,,0.0,,,,,,,0.0,"[u'selling v sclass price difference', u'people afford sclass sell fewer', u'le unit rx conservative excluded']"
24,,,,,,,,,,0.0,[u'would buy sclass phaeton hand']
25,,,,,,,,,,,[]
26,,,,,,,,,,-0.5,[u'expensive lexusls sclass xjr anyway']
27,,,0.0,,,,,,,,[u'lexuses highlander rx gx land']
28,,,,,,,,,,0.0,[u'thinking compeitive sclass anthing else']
29,,,,,,,,,,-0.056249999999999994,"[u'sale v sclass sale shall', u'shall guess sclass outsell going', u'let compare sclass mean really', u'not outsell sclass not price', u'lscan jump sclass especially sclass', u'sclass especially sclass price difference']"
30,,,,,,,,,,0.5333333333333333,"[u'one love sclass not much', u'released picture sclass people quick']"
31,,,,,,,,,,0.5666666666666668,"[u'huge dent sclass sale ya', u'interesting enough sclass actually sold']"
32,,,0.2857142857142857,,,,,,,0.25,"[u'price sold rx rx msrps', u'sold rx rx msrps right', u'le yet rx crush entire', u'cost gs sclass cost lexusls', u'cost lexusls sclass cost scand', u'speak give rx crush ml', u'bought lslooked sclass first decided']"
33,,,-0.5,,,,,,,,"[u'enclave actually rx laughable rendezvous', u'blue hair rx budget gmc']"
34,,,,,,,,,,,[]
35,,,,,,,,,,0.3,"[u'street noted sclass better wow', u'yes cl sclass arrived dealer']"
36,,,,,,,,,,,[]
37,,,,,,,,,,0.0,[u'strength exclusivity sclass exclusive car']
38,,,-0.19999999999999998,,,,,,,,"[u'fully loaded rx huge base', u'car sell rx unless want', u'lexus favor rx vehicle m']"
39,,,,,,,,,,0.0,"[u'class lexusls sclass sts converging', u'car room sclass either m']"
40,,,,,,,,,,0.5,"[u'compare powerful sclass lexusls fair', u'faster compare sclass lsand not', u'lsand not sclass glossing detail', u'see lsscored sclass performance le', u'talking wanted sclass matic nav', u'add option sclass get feature']"
41,,,0.0,,,,,,,,"[u'mercedes bmw rx rest suvs', u'claim fame rx lexusls sedan']"
42,,,,,,,,,0.0,0.3,"[u'engine powerful sclass l l', u'l l xj audi plan']"
43,,,,,,,,,0.0,,[u'car especially xj xk think']
44,,,,,,,,,,,[]
